ts,pool,dex_price,cex_bid,cex_ask,cex_mid,spread_bps,cex_triangle_bps
2026-08-08T07:38:49.302198+00:00,ETH_USDC,1914.081044,1914.1,1914.11,1914.105,-0.13,
2026-08-08T08:57:04.604680+00:00,ETH_USDC,1915.966421,1916.84,1916.85,1916.845,-4.58,
2026-08-08T09:57:01.772636+00:00,ETH_USDC,1918.478924,1918.94,1918.95,1918.945,-2.43,
2026-08-08T10:57:02.459911+00:00,ETH_USDC,1919.31689,1921.17,1921.18,1921.175,-9.67,
2026-08-08T11:57:02.765693+00:00,ETH_USDC,1919.091934,1921.13,1921.14,1921.135,-10.63,
2026-08-08T12:57:02.947267+00:00,ETH_USDC,1919.336695,1919.45,1919.46,1919.455,-0.62,
2026-08-08T13:57:02.095820+00:00,ETH_USDC,1918.443334,1919.69,1919.7,1919.695,-6.52,
2026-08-08T14:57:02.199667+00:00,ETH_USDC,1923.056372,1925.19,1925.2,1925.195,-11.11,
2026-08-08T15:57:01.783978+00:00,ETH_USDC,1921.615998,1923.34,1923.35,1923.345,-8.99,
2026-08-08T16:57:01.945167+00:00,ETH_USDC,1921.328953,1922.4,1922.41,1922.405,-5.6,
2026-08-08T17:57:01.786806+00:00,ETH_USDC,1923.676075,1924.09,1924.1,1924.095,-2.18,
2026-08-08T18:57:03.598899+00:00,ETH_USDC,1919.609815,1921.02,1921.03,1921.025,-7.37,
2026-08-08T19:57:02.933596+00:00,ETH_USDC,1919.404531,1920.89,1920.9,1920.895,-7.76,
2026-08-08T20:57:06.798765+00:00,ETH_USDC,1919.456211,1920.38,1920.39,1920.385,-4.84,
2026-08-08T21:57:02.903579+00:00,ETH_USDC,1920.228447,1920.82,1920.83,1920.825,-3.11,
2026-08-08T22:57:04.289429+00:00,ETH_USDC,1916.295691,1917.19,1917.2,1917.195,-4.69,
2026-08-08T23:57:02.600512+00:00,ETH_USDC,1917.058666,1917.0,1917.01,1917.005,0.28,
2026-08-09T00:57:03.093446+00:00,ETH_USDC,1915.862139,1916.99,1917.0,1916.995,-5.91,
2026-08-09T01:57:02.911589+00:00,ETH_USDC,1914.167246,1916.28,1916.29,1916.285,-11.05,
2026-08-09T02:57:02.051229+00:00,ETH_USDC,1913.286727,1914.82,1914.83,1914.825,-8.03,
2026-08-09T03:57:02.832120+00:00,ETH_USDC,1912.559995,1914.03,1914.04,1914.035,-7.71,
2026-08-09T04:57:04.192252+00:00,ETH_USDC,1912.509612,1912.99,1913.0,1912.995,-2.54,
2026-08-09T05:57:03.116753+00:00,ETH_USDC,1912.588607,1914.19,1914.2,1914.195,-8.39,
2026-08-09T06:57:02.494901+00:00,ETH_USDC,1917.269547,1919.35,1919.36,1919.355,-10.87,
2026-08-09T07:57:02.385610+00:00,ETH_USDC,1915.885421,1917.97,1917.98,1917.975,-10.89,
2026-08-09T08:57:02.415238+00:00,ETH_USDC,1913.833841,1915.65,1915.66,1915.655,-9.51,
2026-08-09T09:57:02.793442+00:00,ETH_USDC,1918.583091,1919.74,1919.75,1919.745,-6.05,
2026-08-09T10:57:02.630841+00:00,ETH_USDC,1918.712284,1920.7,1920.71,1920.705,-10.37,
2026-08-09T11:57:02.845960+00:00,ETH_USDC,1918.266419,1918.87,1918.88,1918.875,-3.17,
2026-08-09T12:57:02.471431+00:00,ETH_USDC,1916.021941,1917.66,1917.67,1917.665,-8.57,
2026-08-09T13:57:02.383485+00:00,ETH_USDC,1921.384351,1923.57,1923.58,1923.575,-11.39,
2026-08-09T14:57:02.873050+00:00,ETH_USDC,1922.737497,1924.77,1924.78,1924.775,-10.59,
2026-08-09T15:41:29.933230+00:00,ETH_USDC,1924.832409,1926.48,1926.49,1926.485,-8.58,2.25
2026-08-09T15:57:02.686079+00:00,ETH_USDC,1925.702862,1926.99,1927.0,1926.995,-6.71,1.64
2026-08-09T16:57:03.279713+00:00,ETH_USDC,1923.511169,1924.52,1924.53,1924.525,-5.27,-2.21
2026-08-09T17:57:03.062597+00:00,ETH_USDC,1922.757716,1923.11,1923.12,1923.115,-1.86,0.08
2026-08-09T18:57:02.824379+00:00,ETH_USDC,1920.516675,1921.51,1921.52,1921.515,-5.2,2.11
2026-08-09T19:57:03.198000+00:00,ETH_USDC,1920.650791,1921.89,1921.9,1921.895,-6.47,-0.7
2026-08-09T20:57:02.878426+00:00,ETH_USDC,1919.176773,1920.77,1920.78,1920.775,-8.32,0.95
2026-08-09T21:57:02.935257+00:00,ETH_USDC,1924.269784,1925.31,1925.32,1925.315,-5.43,1.29
2026-08-09T22:57:03.109326+00:00,ETH_USDC,1918.274673,1919.5,1919.51,1919.505,-6.41,1.12
2026-08-09T23:57:03.153746+00:00,ETH_USDC,1908.094192,1909.04,1909.05,1909.045,-4.98,-0.41
2026-08-10T00:57:03.082892+00:00,ETH_USDC,1913.860191,1914.13,1914.14,1914.135,-1.44,-0.28
